SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
1003ISFL28,N4,998,999,997.99,997.99,997.99,997.5,520,519142.94,18-MAY-2024,8,INE413U07269,
1015ECL29,NR,1000,1002.9,1000,1000.13,1000,999.26,62,62005.8,18-MAY-2024,9,INE804IA7014,
1015IHF28B,AZ,994.7,994.7,994.7,994.7,994.7,1020.2,15,14920.5,18-MAY-2024,1,INE148I07OW4,
1035UCL24,N6,1035,1035,1035,1035,1035,998,10,10350,18-MAY-2024,1,INE583D07307,
1040UCL25,N4,999,999,999,999,999,1009.8,19,18981,18-MAY-2024,1,INE583D07265,
1050NFL26,N7,1000,1000,1000,1000,1000,1000,110,110000,18-MAY-2024,5,INE342T07387,
1050UCL25,N7,1001,1001,1001,1001,1001,1004,90,90090,18-MAY-2024,1,INE583D07315,
1065NFL27,NC,1003,1003,1003,1003,1003,1003,100,100300,18-MAY-2024,1,INE342T07460,
1102NFL26,N8,1059,1059,1059,1059,1059,1058.8,10,10590,18-MAY-2024,1,INE342T07403,
182D011124,TB,97.25,97.25,96.8,96.8,96.8,96.65,600,58125,18-MAY-2024,2,IN002024Y050,
182D050924,TB,97.42,97.42,97.42,97.42,97.42,97.89,100,9742,18-MAY-2024,1,IN002023Y516,
182D060624,TB,99.62,99.62,99.62,99.62,99.62,99.62,100,9962,18-MAY-2024,1,IN002023Y375,
182D120924,TB,97.74,97.74,97.74,97.74,97.74,97.74,100,9774,18-MAY-2024,1,IN002023Y524,
182D141124,TB,96.4,96.4,96.4,96.4,96.4,96.4,100,9640,18-MAY-2024,1,IN002024Y076,
182D250724,TB,98.5,98.5,98.5,98.5,98.5,98.68,300,29550,18-MAY-2024,1,IN002023Y441,
20MICRONS,EQ,195,195,185.55,187.9,187.3,187.65,185033,35208400.3,18-MAY-2024,2360,INE144J01027,
21STCENMGM,BE,44.4,44.4,44.4,44.4,44.4,44.75,30,1332,18-MAY-2024,3,INE253B01015,
